sample	chr	startpos	endpos	nProbesCr	nProbesAf	logR	baf	nMajor	nMinor	purifiedLogR	purifiedLoh
patient2_i1	chr1	794251	9659500	7650	4534	-0.005	0.497	1	1	-0.041	0.051
patient2_i1	chr1	9659501	10714500	850	452	0.117	0.447	3	1	0.721	0.533
patient2_i1	chr1	10714501	248930600	188057	101962	0.021	0.49	1	1	0.157	0.137
patient2_i1	chr2	11001	43514250	39864	26905	0.05	0.491	2	1	0.343	0.115
patient2_i1	chr2	43516251	242110100	173340	89664	-0.02	0.498	1	1	-0.163	0.042
patient2_i1	chr3	12351	169388550	152460	82050	0.042	0.423	3	0	0.293	0.996
patient2_i1	chr3	169388551	170162550	703	227	0.255	0.376	5	0	1.31	0.918
patient2_i1	chr3	170162551	198098650	24933	13556	0.078	0.414	3	0	0.509	0.979
patient2_i1	chr4	137201	190037450	171218	106057	-0.021	0.497	1	1	-0.174	0.051
patient2_i1	chr5	43851	17516700	16012	10646	0.054	0.48	2	1	0.372	0.248
patient2_i1	chr5	17630201	17645200	14	0	-0.989	NA	NA	NA	-10	NA
patient2_i1	chr5	17645201	181171350	143922	82631	0.06	0.484	2	1	0.404	0.186
patient2_i1	chr6	148001	79920400	69972	51221	0.006	0.431	2	0	0.046	1.027
patient2_i1	chr6	79921401	170610150	83741	51325	-0.11	0.48	1	0	-1.192	0.633
patient2_i1	chr7	50351	38252500	34526	24091	0.064	0.486	2	1	0.432	0.166
patient2_i1	chr7	38254501	38347500	67	26	-0.824	0.482	0	0	-10	0.068
patient2_i1	chr7	38358501	104502150	52687	29057	0.062	0.473	2	1	0.415	0.318
patient2_i1	chr7	104502151	105292150	714	3	0.221	0.486	3	2	1.182	0.108
patient2_i1	chr7	105293151	142618400	34056	16693	0.064	0.478	2	1	0.427	0.256
patient2_i1	chr7	142618401	142797250	155	121	-0.418	0.478	0	0	-10	0.271
patient2_i1	chr7	142797251	159333850	13949	9780	0.065	0.473	2	1	0.436	0.317
patient2_i1	chr8	206001	46613350	38527	29553	0.066	0.476	2	1	0.44	0.282
patient2_i1	chr8	46613351	46633350	20	0	0.981	NA	NA	NA	3.08	NA
patient2_i1	chr8	46633351	145075350	90895	51933	0.064	0.475	2	1	0.427	0.292
patient2_i1	chr9	11001	138208550	99217	56505	-0.017	0.499	1	1	-0.134	0.022
